city,avg_aqi,avg_pm25,avg_pm10,avg_no2,pollution_score
Kanpur,193.33,144.75,242.83,52.92,132.92
Delhi,189.92,142.5,226.33,54.25,127.99
Lucknow,179.33,133.75,226.42,50.33,123.65
Patna,173.58,129.75,222.08,49.0,120.63
Varanasi,169.67,126.83,218.83,48.42,118.5
Jaipur,148.33,110.17,199.08,49.17,107.2
Kolkata,130.5,96.67,172.83,42.58,93.44
Ahmedabad,114.0,84.17,151.67,40.75,82.56
Bhopal,109.92,81.08,147.42,40.5,80.18
Guwahati,97.25,71.5,129.5,36.17,70.6
Mumbai,94.08,69.08,121.92,37.08,67.95
Hyderabad,93.25,68.42,120.25,37.25,67.38
Pune,86.42,63.08,111.58,34.83,62.4
Bangalore,83.92,61.08,107.5,33.83,60.33
Visakhapatnam,81.92,59.5,106.67,33.92,59.44
Chennai,76.08,55.0,97.08,31.17,54.5
